93028, Запорізька область, місто Запоріжжя, просп. Тараса Шевченка, 08
62805, Черкаська область, місто Черкаси, просп. 50 років Жовтня, 03
65390, Полтавська область, місто Полтава, пров. Лесі Українки, 02
04385, Житомирська область, місто Житомир, пл. 40 років Перемоги, 87
63577, Вінницька область, місто Вінниця, пл. Пацаєва, 89
21572, Донецька область, місто Донецьк, пров. Михайла Грушевського, 12
74410, Чернівецька область, місто Чернівці, вул. Космонавта Попова, 00
06624, Закарпатська область, місто Ужгород, пл. Генерала Жадова, 30
55035, Кіровоградська область, місто Кіровоград, пл. Тараса Шевченка, 34
00859, Харківська область, місто Харків, вул. Космонавта Попова, 08
45029, Хмельницька область, місто Хмельницьк, пров. Михайла Грушевського, 84
10749, Тернопільська область, місто Тернопіль, пров. Гагаріна, 67
32272, Тернопільська область, місто Тернопіль, просп. Лесі Українки, 41
28914, Донецька область, місто Донецьк, просп. Леніна, 56
12626, Тернопільська область, місто Тернопіль, пров. Пацаєва, 46
59052, Кіровоградська область, місто Кіровоград, пров. Михайла Грушевського, 65
62360, Вінницька область, місто Вінниця, пров. 50 років Жовтня, 86
61540, Житомирська область, місто Житомир, просп. Генерала Жадова, 24
29455, Одеська область, місто Одеса, вул. Лесі Українки, 27
16578, Дніпропетровська область, місто Дніпропетровськ, просп. Генерала Жадова, 10
63595, Львівська область, місто Львів, пров. Лесі Українки, 13
72352, Одеська область, місто Одеса, вул. Лесі Українки, 89
71681, Львівська область, місто Львів, просп. 50 років Жовтня, 47
96966, Полтавська область, місто Полтава, пров. Михайла Грушевського, 81
62106, Івано-Франківська область, місто Івано-Франківськ, вул. Волкова, 34
84399, Житомирська область, місто Житомир, просп. Генерала Жадова, 45
56652, Черкаська область, місто Черкаси, вул. Пацаєва, 79
77105, Львівська область, місто Львів, вул. Лесі Українки, 89
14162, Чернівецька область, місто Чернівці, пров. Леніна, 07
28588, Чернігівська область, місто Чернігів, пл. Лесі Українки, 80
81858, Волинська область, місто Луцьк, просп. Генерала Жадова, 61
61799, Запорізька область, місто Запоріжжя, пл. Лесі Українки, 44
18589, Кіровоградська область, місто Кіровоград, вул. Космонавта Попова, 63
56205, Кіровоградська область, місто Кіровоград, пров. Тараса Шевченка, 39
58554, Донецька область, місто Донецьк, просп. Лесі Українки, 42
05496, Херсонська область, місто Херсон, пров. Космонавта Попова, 02
90972, Харківська область, місто Харків, пров. Михайла Грушевського, 13
39255, Сумська область, місто Суми, просп. 50 років Жовтня, 67
94361, Запорізька область, місто Запоріжжя, пров. Генерала Жадова, 29
69521, Чернігівська область, місто Чернігів, пл. Тараса Шевченка, 94
10440, Івано-Франківська область, місто Івано-Франківськ, вул. Пацаєва, 66
83993, Дніпропетровська область, місто Дніпропетровськ, пл. Лесі Українки, 71
74963, Івано-Франківська область, місто Івано-Франківськ, пров. Генерала Жадова, 92
25715, Черкаська область, місто Черкаси, пров. Космонавта Попова, 27
14557, Харківська область, місто Харків, пл. Пацаєва, 68
26387, Херсонська область, місто Херсон, просп. Космонавта Попова, 10
75039, Житомирська область, місто Житомир, пл. Тараса Шевченка, 15
73049, Тернопільська область, місто Тернопіль, пров. Пацаєва, 56
43525, Хмельницька область, місто Хмельницьк, просп. 50 років Жовтня, 25
33589, Полтавська область, місто Полтава, пл. Космонавта Попова, 69
